FIPS_Combined,state,county,slope_reports_per_year,observed_2017_reports,forecast_2020_reports,forecast_threshold,in_sample_mae,in_sample_r2
21205,KY,ROWAN,-14.214286,41.0,32.61,watch,29.4196,0.4753
42033,PA,CLEARFIELD,-1.619048,40.0,32.23,watch,11.6548,0.0667
51079,VA,GREENE,2.404762,24.0,31.88,watch,3.8155,0.5577
42127,PA,WAYNE,-1.02381,19.0,30.6,watch,11.6964,0.0302
21095,KY,HARLAN,-33.857143,92.0,29.93,watch,51.1964,0.5341
21035,KY,CALLOWAY,1.690476,16.0,29.24,watch,6.4464,0.2071
51127,VA,NEW KENT,1.202381,26.0,29.19,watch,2.8244,0.428
42091,PA,MONTGOMERY,-8.059524,53.0,28.74,watch,13.6161,0.4852
54037,WV,JEFFERSON,0.988095,20.0,28.55,watch,9.869,0.0389
42083,PA,MCKEAN,-2.0,19.0,28.5,watch,15.625,0.0633
21197,KY,POWELL,-8.416667,38.0,28.17,watch,23.3125,0.3155
21181,KY,NICHOLAS,-0.714286,14.0,28.11,watch,14.75,0.009
21239,KY,WOODFORD,-1.607143,40.0,27.68,watch,13.0536,0.0445
51135,VA,NOTTOWAY,2.190476,12.0,26.74,watch,2.9048,0.5629
21001,KY,ADAIR,0.904762,17.0,26.63,watch,7.4792,0.0405
42103,PA,PIKE,-2.702381,33.0,26.56,watch,4.4494,0.4531
51115,VA,MATHEWS,1.535714,4.0,26.36,watch,10.375,0.0702
42067,PA,JUNIATA,1.202381,28.0,26.19,watch,10.7738,0.0485
51119,VA,MIDDLESEX,2.428571,17.0,26.04,watch,4.1071,0.5933
51037,VA,CHARLOTTE,0.821429,12.0,25.96,watch,13.9821,0.0106
54035,WV,JACKSON,-0.857143,18.0,25.68,watch,16.2054,0.0115
21147,KY,MCCREARY,-3.72619,38.0,25.65,watch,14.6042,0.1713
51009,VA,AMHERST,-3.0,41.0,25.5,watch,12.25,0.1839
21023,KY,BRACKEN,0.428571,24.0,25.29,watch,5.8367,0.0114
51001,VA,ACCOMACK,0.392857,18.0,25.18,watch,11.4732,0.0043
21107,KY,HOPKINS,-5.833333,46.0,25.08,watch,8.5625,0.5167
39067,OH,HARRISON,1.821429,17.0,25.07,watch,3.5,0.4671
21053,KY,CLINTON,1.166667,17.0,24.58,routine,6.4583,0.1186
21057,KY,CUMBERLAND,2.011905,10.0,24.2,routine,5.3839,0.312
51029,VA,BUCKINGHAM,0.797619,32.0,24.06,routine,4.3423,0.1048
21227,KY,WARREN,-4.690476,29.0,23.51,routine,9.9048,0.4521
51175,VA,SOUTHAMPTON,1.035714,18.0,23.36,routine,7.9107,0.0669
42059,PA,GREENE,-4.083333,32.0,23.33,routine,8.1667,0.4635
